designation,A,B,t,n,d,dh,p,e,capacity,failure,Nr
ISA 110110,110.0,110.0,8.0,4,24.0,26.0,80.0,45.0,346.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,8.0,5,24.0,26.0,80.0,45.0,382.0,Failure governed by Rupture of critical section,1
ISA 110110,110.0,110.0,8.0,6,24.0,26.0,80.0,45.0,382.0,Failure governed by Rupture of critical section,1
ISA 110110,110.0,110.0,8.0,7,24.0,26.0,80.0,45.0,382.0,Failure governed by Rupture of critical section,1
ISA 110110,110.0,110.0,8.0,8,24.0,26.0,80.0,45.0,382.0,Failure governed by Rupture of critical section,1
ISA 110110,110.0,110.0,10.0,2,12.0,13.0,40.0,25.0,180.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,10.0,3,12.0,13.0,40.0,25.0,226.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,10.0,4,12.0,13.0,40.0,25.0,272.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,10.0,5,12.0,13.0,40.0,25.0,318.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,10.0,6,12.0,13.0,40.0,25.0,364.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,10.0,7,12.0,13.0,40.0,25.0,410.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,10.0,8,12.0,13.0,40.0,25.0,456.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,10.0,2,14.0,15.0,50.0,30.0,200.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,10.0,3,14.0,15.0,50.0,30.0,260.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,10.0,4,14.0,15.0,50.0,30.0,320.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,10.0,5,14.0,15.0,50.0,30.0,379.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,10.0,6,14.0,15.0,50.0,30.0,439.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,10.0,7,14.0,15.0,50.0,30.0,479.0,Failure governed by Yielding of Gross Section,1
ISA 110110,110.0,110.0,10.0,8,14.0,15.0,50.0,30.0,479.0,Failure governed by Yielding of Gross Section,1
ISA 110110,110.0,110.0,10.0,2,16.0,18.0,55.0,35.0,210.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,10.0,3,16.0,18.0,55.0,35.0,273.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,10.0,4,16.0,18.0,55.0,35.0,336.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,10.0,5,16.0,18.0,55.0,35.0,399.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,10.0,6,16.0,18.0,55.0,35.0,462.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,10.0,7,16.0,18.0,55.0,35.0,479.0,Failure governed by Yielding of Gross Section,1
ISA 110110,110.0,110.0,10.0,8,16.0,18.0,55.0,35.0,479.0,Failure governed by Yielding of Gross Section,1
ISA 110110,110.0,110.0,10.0,2,18.0,20.0,60.0,35.0,213.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,10.0,3,18.0,20.0,60.0,35.0,281.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,10.0,4,18.0,20.0,60.0,35.0,349.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,10.0,5,18.0,20.0,60.0,35.0,418.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,10.0,6,18.0,20.0,60.0,35.0,479.0,Failure governed by Yielding of Gross Section,1
ISA 110110,110.0,110.0,10.0,7,18.0,20.0,60.0,35.0,479.0,Failure governed by Yielding of Gross Section,1
ISA 110110,110.0,110.0,10.0,8,18.0,20.0,60.0,35.0,479.0,Failure governed by Yielding of Gross Section,1
ISA 110110,110.0,110.0,10.0,2,20.0,22.0,65.0,40.0,225.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,10.0,3,20.0,22.0,65.0,40.0,298.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,10.0,4,20.0,22.0,65.0,40.0,372.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,10.0,5,20.0,22.0,65.0,40.0,445.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,10.0,6,20.0,22.0,65.0,40.0,479.0,Failure governed by Yielding of Gross Section,1
ISA 110110,110.0,110.0,10.0,7,20.0,22.0,65.0,40.0,479.0,Failure governed by Yielding of Gross Section,1
ISA 110110,110.0,110.0,10.0,8,20.0,22.0,65.0,40.0,479.0,Failure governed by Yielding of Gross Section,1
ISA 110110,110.0,110.0,10.0,2,22.0,24.0,75.0,45.0,245.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,10.0,3,22.0,24.0,75.0,45.0,332.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,10.0,4,22.0,24.0,75.0,45.0,419.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,10.0,5,22.0,24.0,75.0,45.0,478.0,Failure governed by Rupture of critical section,1
ISA 110110,110.0,110.0,10.0,6,22.0,24.0,75.0,45.0,478.0,Failure governed by Rupture of critical section,1
ISA 110110,110.0,110.0,10.0,7,22.0,24.0,75.0,45.0,478.0,Failure governed by Rupture of critical section,1
ISA 110110,110.0,110.0,10.0,8,22.0,24.0,75.0,45.0,478.0,Failure governed by Rupture of critical section,1
ISA 110110,110.0,110.0,10.0,2,24.0,26.0,80.0,45.0,249.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,10.0,3,24.0,26.0,80.0,45.0,341.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,10.0,4,24.0,26.0,80.0,45.0,433.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,10.0,5,24.0,26.0,80.0,45.0,472.0,Failure governed by Rupture of critical section,1
ISA 110110,110.0,110.0,10.0,6,24.0,26.0,80.0,45.0,472.0,Failure governed by Rupture of critical section,1
ISA 110110,110.0,110.0,10.0,7,24.0,26.0,80.0,45.0,472.0,Failure governed by Rupture of critical section,1
ISA 110110,110.0,110.0,10.0,8,24.0,26.0,80.0,45.0,472.0,Failure governed by Rupture of critical section,1
ISA 110110,110.0,110.0,12.0,2,12.0,13.0,40.0,25.0,216.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,12.0,3,12.0,13.0,40.0,25.0,271.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,12.0,4,12.0,13.0,40.0,25.0,326.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,12.0,5,12.0,13.0,40.0,25.0,381.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,12.0,6,12.0,13.0,40.0,25.0,437.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,12.0,7,12.0,13.0,40.0,25.0,492.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,12.0,8,12.0,13.0,40.0,25.0,547.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,12.0,2,14.0,15.0,50.0,30.0,240.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,12.0,3,14.0,15.0,50.0,30.0,312.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,12.0,4,14.0,15.0,50.0,30.0,383.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,12.0,5,14.0,15.0,50.0,30.0,455.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,12.0,6,14.0,15.0,50.0,30.0,527.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,12.0,7,14.0,15.0,50.0,30.0,569.0,Failure governed by Yielding of Gross Section,1
ISA 110110,110.0,110.0,12.0,8,14.0,15.0,50.0,30.0,569.0,Failure governed by Yielding of Gross Section,1
ISA 110110,110.0,110.0,12.0,2,16.0,18.0,55.0,35.0,252.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,12.0,3,16.0,18.0,55.0,35.0,327.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,12.0,4,16.0,18.0,55.0,35.0,403.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,12.0,5,16.0,18.0,55.0,35.0,479.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,12.0,6,16.0,18.0,55.0,35.0,554.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,12.0,7,16.0,18.0,55.0,35.0,569.0,Failure governed by Yielding of Gross Section,1
ISA 110110,110.0,110.0,12.0,8,16.0,18.0,55.0,35.0,569.0,Failure governed by Yielding of Gross Section,1
ISA 110110,110.0,110.0,12.0,2,18.0,20.0,60.0,35.0,256.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,12.0,3,18.0,20.0,60.0,35.0,337.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,12.0,4,18.0,20.0,60.0,35.0,419.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,12.0,5,18.0,20.0,60.0,35.0,501.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,12.0,6,18.0,20.0,60.0,35.0,569.0,Failure governed by Yielding of Gross Section,1
ISA 110110,110.0,110.0,12.0,7,18.0,20.0,60.0,35.0,569.0,Failure governed by Yielding of Gross Section,1
ISA 110110,110.0,110.0,12.0,8,18.0,20.0,60.0,35.0,569.0,Failure governed by Yielding of Gross Section,1
ISA 110110,110.0,110.0,12.0,2,20.0,22.0,65.0,40.0,270.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,12.0,3,20.0,22.0,65.0,40.0,358.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,12.0,4,20.0,22.0,65.0,40.0,446.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,12.0,5,20.0,22.0,65.0,40.0,534.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,12.0,6,20.0,22.0,65.0,40.0,569.0,Failure governed by Yielding of Gross Section,1
ISA 110110,110.0,110.0,12.0,7,20.0,22.0,65.0,40.0,569.0,Failure governed by Yielding of Gross Section,1
ISA 110110,110.0,110.0,12.0,8,20.0,22.0,65.0,40.0,569.0,Failure governed by Yielding of Gross Section,1
ISA 110110,110.0,110.0,12.0,2,22.0,24.0,75.0,45.0,295.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,12.0,3,22.0,24.0,75.0,45.0,399.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,12.0,4,22.0,24.0,75.0,45.0,503.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,12.0,5,22.0,24.0,75.0,45.0,567.0,Failure governed by Rupture of critical section,1
ISA 110110,110.0,110.0,12.0,6,22.0,24.0,75.0,45.0,567.0,Failure governed by Rupture of critical section,1
ISA 110110,110.0,110.0,12.0,7,22.0,24.0,75.0,45.0,567.0,Failure governed by Rupture of critical section,1
ISA 110110,110.0,110.0,12.0,8,22.0,24.0,75.0,45.0,567.0,Failure governed by Rupture of critical section,1
ISA 110110,110.0,110.0,12.0,2,24.0,26.0,80.0,45.0,299.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,12.0,3,24.0,26.0,80.0,45.0,409.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,12.0,4,24.0,26.0,80.0,45.0,520.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,12.0,5,24.0,26.0,80.0,45.0,560.0,Failure governed by Rupture of critical section,1
ISA 110110,110.0,110.0,12.0,6,24.0,26.0,80.0,45.0,560.0,Failure governed by Rupture of critical section,1
ISA 110110,110.0,110.0,12.0,7,24.0,26.0,80.0,45.0,560.0,Failure governed by Rupture of critical section,1
ISA 110110,110.0,110.0,12.0,8,24.0,26.0,80.0,45.0,560.0,Failure governed by Rupture of critical section,1
ISA 110110,110.0,110.0,15.0,2,12.0,13.0,40.0,25.0,270.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,15.0,3,12.0,13.0,40.0,25.0,339.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,15.0,4,12.0,13.0,40.0,25.0,408.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,15.0,5,12.0,13.0,40.0,25.0,477.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,15.0,6,12.0,13.0,40.0,25.0,546.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,15.0,7,12.0,13.0,40.0,25.0,615.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,15.0,8,12.0,13.0,40.0,25.0,684.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,15.0,2,14.0,15.0,50.0,30.0,300.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,15.0,3,14.0,15.0,50.0,30.0,390.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,15.0,4,14.0,15.0,50.0,30.0,479.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,15.0,5,14.0,15.0,50.0,30.0,569.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,15.0,6,14.0,15.0,50.0,30.0,658.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,15.0,7,14.0,15.0,50.0,30.0,700.0,Failure governed by Yielding of Gross Section,1
ISA 110110,110.0,110.0,15.0,8,14.0,15.0,50.0,30.0,700.0,Failure governed by Yielding of Gross Section,1
ISA 110110,110.0,110.0,15.0,2,16.0,18.0,55.0,35.0,314.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,15.0,3,16.0,18.0,55.0,35.0,409.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,15.0,4,16.0,18.0,55.0,35.0,504.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,15.0,5,16.0,18.0,55.0,35.0,598.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,15.0,6,16.0,18.0,55.0,35.0,693.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,15.0,7,16.0,18.0,55.0,35.0,700.0,Failure governed by Yielding of Gross Section,1
ISA 110110,110.0,110.0,15.0,8,16.0,18.0,55.0,35.0,700.0,Failure governed by Yielding of Gross Section,1
ISA 110110,110.0,110.0,15.0,2,18.0,20.0,60.0,35.0,320.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,15.0,3,18.0,20.0,60.0,35.0,422.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,15.0,4,18.0,20.0,60.0,35.0,524.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,15.0,5,18.0,20.0,60.0,35.0,626.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,15.0,6,18.0,20.0,60.0,35.0,700.0,Failure governed by Yielding of Gross Section,1
ISA 110110,110.0,110.0,15.0,7,18.0,20.0,60.0,35.0,700.0,Failure governed by Yielding of Gross Section,1
ISA 110110,110.0,110.0,15.0,8,18.0,20.0,60.0,35.0,700.0,Failure governed by Yielding of Gross Section,1
ISA 110110,110.0,110.0,15.0,2,20.0,22.0,65.0,40.0,337.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,15.0,3,20.0,22.0,65.0,40.0,447.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,15.0,4,20.0,22.0,65.0,40.0,557.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,15.0,5,20.0,22.0,65.0,40.0,667.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,15.0,6,20.0,22.0,65.0,40.0,700.0,Failure governed by Yielding of Gross Section,1
ISA 110110,110.0,110.0,15.0,7,20.0,22.0,65.0,40.0,700.0,Failure governed by Yielding of Gross Section,1
ISA 110110,110.0,110.0,15.0,8,20.0,22.0,65.0,40.0,700.0,Failure governed by Yielding of Gross Section,1
ISA 110110,110.0,110.0,15.0,2,22.0,24.0,75.0,45.0,368.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,15.0,3,22.0,24.0,75.0,45.0,499.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,15.0,4,22.0,24.0,75.0,45.0,629.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,15.0,5,22.0,24.0,75.0,45.0,697.0,Failure governed by Rupture of critical section,1
ISA 110110,110.0,110.0,15.0,6,22.0,24.0,75.0,45.0,697.0,Failure governed by Rupture of critical section,1
ISA 110110,110.0,110.0,15.0,7,22.0,24.0,75.0,45.0,697.0,Failure governed by Rupture of critical section,1
ISA 110110,110.0,110.0,15.0,8,22.0,24.0,75.0,45.0,697.0,Failure governed by Rupture of critical section,1
ISA 110110,110.0,110.0,15.0,2,24.0,26.0,80.0,45.0,373.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,15.0,3,24.0,26.0,80.0,45.0,511.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,15.0,4,24.0,26.0,80.0,45.0,649.0,Failure governed by Block Shear,1
ISA 110110,110.0,110.0,15.0,5,24.0,26.0,80.0,45.0,688.0,Failure governed by Rupture of critical section,1
ISA 110110,110.0,110.0,15.0,6,24.0,26.0,80.0,45.0,688.0,Failure governed by Rupture of critical section,1
ISA 110110,110.0,110.0,15.0,7,24.0,26.0,80.0,45.0,688.0,Failure governed by Rupture of critical section,1
ISA 110110,110.0,110.0,15.0,8,24.0,26.0,80.0,45.0,688.0,Failure governed by Rupture of critical section,1
ISA 100100,100.0,100.0,6.0,2,12.0,13.0,40.0,25.0,123.0,Failure governed by Block Shear,2
ISA 100100,100.0,100.0,10.0,2,12.0,13.0,40.0,25.0,205.0,Failure governed by Block Shear,2
ISA 100100,100.0,100.0,6.0,2,12.0,13.0,40.0,25.0,101.0,Failure governed by Block Shear,1
ISA 100100,100.0,100.0,10.0,2,12.0,13.0,40.0,25.0,168.0,Failure governed by Block Shear,1
ISA 9090,90.0,90.0,6.0,2,12.0,13.0,40.0,25.0,101.0,Failure governed by Block Shear,0
ISA 9090,90.0,90.0,10.0,2,12.0,13.0,40.0,25.0,168.0,Failure governed by Block Shear,0
ISA 8080,80.0,80.0,6.0,2,12.0,13.0,40.0,25.0,94.0,Failure governed by Block Shear,0
ISA 8080,80.0,80.0,10.0,2,12.0,13.0,40.0,25.0,157.0,Failure governed by Block Shear,0
ISA 7575,75.0,75.0,5.0,2,12.0,13.0,40.0,25.0,79.0,Failure governed by Block Shear,0
ISA 7575,75.0,75.0,8.0,2,12.0,13.0,40.0,25.0,126.0,Failure governed by Block Shear,0
ISA 7070,70.0,70.0,5.0,2,12.0,13.0,40.0,25.0,73.0,Failure governed by Block Shear,0
ISA 6565,65.0,65.0,5.0,2,12.0,13.0,40.0,25.0,73.0,Failure governed by Block Shear,0
ISA 6060,60.0,60.0,5.0,2,12.0,13.0,40.0,25.0,67.0,Failure governed by Block Shear,0
ISA 5555,55.0,55.0,5.0,2,12.0,13.0,35.0,25.0,63.0,Failure governed by Block Shear,0
ISA 5555,55.0,55.0,,3,12.0,13.0,35.0,25.0,82.0,Failure governed by Block Shear,0
ISA 5555,55.0,55.0,,4,12.0,13.0,35.0,25.0,100.0,Failure governed by Block Shear,0
ISA 5555,55.0,55.0,,5,12.0,13.0,35.0,25.0,118.0,Failure governed by Rupture of critical section,0
ISA 5555,55.0,55.0,,6,12.0,13.0,35.0,25.0,118.0,Failure governed by Rupture of critical section,0
ISA 5555,55.0,55.0,,7,12.0,13.0,35.0,25.0,118.0,Failure governed by Rupture of critical section,0
ISA 5555,55.0,55.0,,8,12.0,13.0,35.0,25.0,118.0,Failure governed by Rupture of critical section,0
ISA 5555,55.0,55.0,6.0,2,12.0,13.0,35.0,25.0,76.0,Failure governed by Block Shear,0
ISA 5555,55.0,55.0,,3,12.0,13.0,35.0,25.0,98.0,Failure governed by Block Shear,0
ISA 5555,55.0,55.0,,4,12.0,13.0,35.0,25.0,121.0,Failure governed by Block Shear,0
ISA 5555,55.0,55.0,,5,12.0,13.0,35.0,25.0,140.0,Failure governed by Rupture of critical section,0
ISA 5555,55.0,55.0,,6,12.0,13.0,35.0,25.0,140.0,Failure governed by Rupture of critical section,0
ISA 5555,55.0,55.0,,7,12.0,13.0,35.0,25.0,140.0,Failure governed by Rupture of critical section,0
ISA 5555,55.0,55.0,,8,12.0,13.0,35.0,25.0,140.0,Failure governed by Rupture of critical section,0
ISA 5555,55.0,55.0,8.0,2,12.0,13.0,35.0,25.0,101.0,Failure governed by Block Shear,0
ISA 5555,55.0,55.0,,3,12.0,13.0,35.0,25.0,131.0,Failure governed by Block Shear,0
ISA 5555,55.0,55.0,,4,12.0,13.0,35.0,25.0,161.0,Failure governed by Block Shear,0
ISA 5555,55.0,55.0,,5,12.0,13.0,35.0,25.0,182.0,Failure governed by Rupture of critical section,0
ISA 5555,55.0,55.0,,6,12.0,13.0,35.0,25.0,182.0,Failure governed by Rupture of critical section,0
ISA 5555,55.0,55.0,,7,12.0,13.0,35.0,25.0,182.0,Failure governed by Rupture of critical section,0
ISA 5555,55.0,55.0,,8,12.0,13.0,35.0,25.0,182.0,Failure governed by Rupture of critical section,0
ISA 5555,55.0,55.0,10.0,2,12.0,13.0,35.0,25.0,126.0,Failure governed by Block Shear,0
ISA 5555,55.0,55.0,,3,12.0,13.0,35.0,25.0,163.0,Failure governed by Block Shear,0
ISA 5555,55.0,55.0,,4,12.0,13.0,35.0,25.0,201.0,Failure governed by Block Shear,0
ISA 5555,55.0,55.0,,5,12.0,13.0,35.0,25.0,223.0,Failure governed by Rupture of critical section,0
ISA 5555,55.0,55.0,,6,12.0,13.0,35.0,25.0,223.0,Failure governed by Rupture of critical section,0
ISA 5555,55.0,55.0,,7,12.0,13.0,35.0,25.0,223.0,Failure governed by Rupture of critical section,0
ISA 5555,55.0,55.0,,8,12.0,13.0,35.0,25.0,223.0,Failure governed by Rupture of critical section,0
